Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
4.75,0.26916465,0.7196227,0.01859963,0.23859726,0.6378995,0.017700791,0.18815893,0.50305057,0.013280511,0.269175,0.7195878,0.11956853,0.2373896,0.63461566,0.08022004,0.18805197,0.50272095,0.068252206,0.26714057,0.7194964,0.05291885,0.23640777,0.63672304,0.039619863,0.19109873,0.51469105,0.031060398
5.0,0.2562948,0.69325143,0.02232951,0.1929693,0.5219624,0.015367746,0.14022397,0.37929162,0.011367857,0.2562135,0.6931431,0.1357727,0.19192927,0.51923287,0.06391132,0.14039287,0.37980965,0.043872833,0.26058373,0.7024818,0.047031045,0.19927274,0.5371996,0.029675305,0.14470413,0.3900935,0.015412927
5.25,0.29778212,0.8127637,0.029729605,0.24774276,0.6761867,0.023653269,0.14966628,0.4084977,0.0153999925,0.297746,0.81268877,0.17503148,0.24675472,0.6735096,0.097434044,0.14945127,0.40792277,0.05629003,0.30632597,0.8352229,0.056173205,0.24439342,0.6663587,0.043979526,0.14531423,0.39621118,0.01689303
5.5,0.34684104,0.95118695,0.037321985,0.32455513,0.8900694,0.040222406,0.16957864,0.46505737,0.01905483,0.34703887,0.9518223,0.21919239,0.32377258,0.88800997,0.15879887,0.16955048,0.4650255,0.07183683,0.3465159,0.95148367,0.07804233,0.3309632,0.90877813,0.08528423,0.17339708,0.47612387,0.0245623
5.75,0.39987743,1.09677,0.04401779,0.3914168,1.0735645,0.056183934,0.19730416,0.5411591,0.023807526,0.39981398,1.0965174,0.25793844,0.39088723,1.0720352,0.21113867,0.19735546,0.54126096,0.08896828,0.40115243,1.1029117,0.10634369,0.40181726,1.1047395,0.13126504,0.20059475,0.5515068,0.031159341
6.0,0.3791587,1.0365778,0.04493797,0.37754062,1.0321542,0.058089375,0.21589951,0.5902453,0.026999533,0.379147,1.0366577,0.25086296,0.37562442,1.0270263,0.18913537,0.2154933,0.58919835,0.10241604,0.3796845,1.0377169,0.08949715,0.37990364,1.0383158,0.118839204,0.20550638,0.5616701,0.033041537
6.25,0.40726814,1.1075809,0.04887122,0.41282386,1.1226898,0.064848244,0.22152966,0.6024582,0.029149413,0.40763426,1.1084628,0.27541173,0.41131026,1.1184589,0.21817023,0.2217256,0.6029292,0.10367304,0.4113129,1.1285138,0.109526336,0.42480084,1.1655205,0.13240123,0.21867497,0.59997565,0.045343757
6.5,0.43570733,1.1772531,0.051127613,0.434296,1.1734399,0.06638944,0.2533664,0.6845797,0.03485799,0.4356455,1.1771401,0.27868408,0.43311396,1.1702998,0.24909717,0.25359136,0.685219,0.12888044,0.4252143,1.142779,0.11873019,0.43116975,1.1587845,0.12197459,0.2550131,0.6853571,0.059214115
6.75,0.4712098,1.2647034,0.05652821,0.45242918,1.2142972,0.0653891,0.3136266,0.84175795,0.0454579,0.47134975,1.265514,0.3080172,0.45065558,1.2099528,0.28384316,0.3139685,0.8429655,0.18410069,0.4711957,1.2828948,0.14522439,0.47300002,1.2878073,0.15974212,0.313478,0.8534868,0.08993262
7.0,0.46041346,1.2274433,0.05941099,0.41201618,1.0984182,0.058321297,0.32042298,0.8542345,0.042002976,0.46040872,1.2281865,0.31962162,0.41041476,1.0948225,0.23517156,0.3208724,0.85595936,0.18785048,0.47080302,1.2733415,0.13089627,0.40286797,1.0896033,0.09658855,0.30553132,0.826345,0.062366486
